Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
214009189,Blood on Her Tongue,Johanna van Veen,"Veen, Johanna van",,"=""172828158X""","=""9781728281582""",5,3.80,Poisoned Pen Press,Kindle Edition,361,2025,2025,2025/11/28,2025/10/26,,,read,,,,1,0
222377103,The Haunting of Paynes Hollow,Kelley Armstrong,"Armstrong, Kelley",,"=""1250360560""","=""9781250360564""",0,3.72,St. Martin's Press,Hardcover,276,2025,2025,,2025/11/28,,,read,,,,1,0
213660564,"A Forbidden Alchemy (The Artisan Trilogy, #1)",Stacey McEwan,"McEwan, Stacey",,"=""1668076187""","=""9781668076187""",0,4.28,S&S/Saga Press,Hardcover,480,2025,2025,,2025/11/28,,,read,,,,1,0
241058997,"Rites of the Starling (Shield of Sparrows, #2)",Devney Perry,"Perry, Devney",,"=""1682816753""","=""9781682816752""",0,4.19,Entangled: Red Tower Books,Hardcover,500,2026,2026,,2025/11/25,to-read,to-read (#382),to-read,,,,0,0
241564688,"The Knave and the Moon  (The Stonewater Kingdom, #2)",Rachel Gillig,"Gillig, Rachel",,"=""0356522997""","=""9780356522999""",0,4.67,"Little, Brown Book Group",Hardcover,400,2026,2026,,2025/11/25,to-read,to-read (#381),to-read,,,,0,0
222683916,Exiles,Mason Coile,"Coile, Mason",Andrew Pyper,"=""0593851633""","=""9780593851630""",0,3.71,G.P. Putnam's Sons,Hardcover,224,2025,2025,,2025/11/25,to-read,to-read (#380),to-read,,,,0,0
43722897,The Art of Statistics: How to Learn from Data,David Spiegelhalter,"Spiegelhalter, David",,"=""1541618513""","=""9781541618510""",5,4.15,Basic Books,Hardcover,448,2019,2019,2025/10/24,2025/10/24,,,read,,,,1,0
60784416,Slewfoot: A Tale of Bewitchery,Brom,"Brom, Brom",,"=""1250621992""","=""9781250621993""",5,4.21,Tor Nightfire,Paperback,305,2023,2021,2025/10/21,2025/10/19,,,read,,,,1,0
199797869,Birding with Benefits,Sarah T. Dubb,"Dubb, Sarah T.",,"=""1668037831""","=""9781668037836""",3,3.60,Gallery Books,Paperback,336,2024,2024,2025/10/19,2025/10/19,,,read,,,,1,0
222376906,Wild Reverence,Rebecca   Ross,"Ross, Rebecca",,"=""1250373352""","=""9781250373359""",4,4.39,Saturday Books,Hardcover,527,2025,2025,2025/10/19,2025/09/18,,,read,,,,1,0
218671839,Strange Houses,Uketsu,"Uketsu, Uketsu",Jim Rion,"=""006343315X""","=""9780063433151""",3,3.63,HarperVia,Paperback,203,2025,2021,2025/10/19,2025/08/25,,,read,,,,1,0
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,"=""1982198788""","=""9781982198787""",0,3.63,Atria/Emily Bestler Books,Hardcover,312,2024,2024,,2025/10/19,to-read,to-read (#379),to-read,,,,0,0
